City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
598,Kolondieba,ML,76.39,overcast clouds,11.0882,-6.8926,Hotel Dakan
599,Ahuimanu,US,82.11,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
604,Valera,VE,85.05,broken clouds,9.3178,-70.6036,Hotel Camino Real
606,Lufilufi,WS,80.22,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
612,Along,IN,75.51,overcast clouds,28.1667,94.7667,Hotel West
613,Aldergrove,CA,83.32,broken clouds,49.058,-122.4709,Best Western Plus Country Meadows Inn
619,Neepawa,CA,82.8,scattered clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
624,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
625,Pueblo Nuevo Solistahuacan,MX,77.74,broken clouds,17.1,-92.8833,Cabañas el DIAMANTE
629,Melaka,MY,78.84,light rain,2.196,102.2405,Hatten Hotel Melaka
630,Harper,LR,76.84,overcast clouds,4.375,-7.7169,Screensaver
632,Dakar,SN,83.28,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
633,Satkhira,BD,84.2,overcast clouds,22.7167,89.1,kaligonj Mass
639,Chaman,PK,84.54,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
641,Juegang,CN,80.98,overcast clouds,32.3174,121.1855,Rudong Y Hotel
643,Aquiraz,BR,85.21,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
644,Thunder Bay,CA,76.98,haze,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
650,Edson,CA,75.31,haze,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
653,Ikeda,JP,80.31,scattered clouds,34.8221,135.4298,マスミ荘
654,Brandon,US,87.89,scattered clouds,27.9378,-82.2859,Brandon Motor Lodge
661,Bandarbeyla,SO,77.95,overcast clouds,9.4942,50.8122,JABIR HOTEL
665,Mata,PT,78.93,clear sky,40.683,-7.4592,Hostel EntryFik
667,Malpura,IN,81.3,overcast clouds,26.2833,75.3833,Tak House cum Legal Advisory Chambers
669,Ilebo,CD,75.63,few clouds,-4.3167,20.5833,Hôtel BUMAK
670,Kangaba,ML,76.06,overcast clouds,11.9333,-8.4167,Hôtel Mandé
671,Gigmoto,PH,81.9,overcast clouds,13.7796,124.39,Cj's Travellers Inn
673,Kingston,JM,85.15,broken clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
676,Guilin,CN,78.91,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
678,Alappuzha,IN,79.12,overcast clouds,9.49,76.3264,Panoramic Sea Resort
679,Bull Savanna,JM,84.67,scattered clouds,17.8868,-77.5902,Big Red's
682,Lazaro Cardenas,MX,86.5,broken clouds,17.9583,-102.2,quinta antigua
683,Sai Buri,TH,78.73,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
687,Preveza,GR,80.51,clear sky,38.95,20.75,Margarona Royal Hotel Ξενοδοχείο
690,Nata,PA,88.47,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
693,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
694,Farafenni,GM,86.09,overcast clouds,13.5667,-15.6,Eddy's Hotel
696,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
700,Mykhaylivka,UA,77.27,clear sky,47.2724,35.2224,Hotelʹ
701,Yangliuqing,CN,76.98,light rain,39.1375,116.9997,Thank U Express Tianjin Kaiyuan Road
702,Havelock,US,86.23,broken clouds,34.8791,-76.9013,Sherwood Motel
